Name	Description	Occupation skill points	Min Credit	Max Credit	Skills	Type
Accountant	"Either employed within a business or working as a free-
lance consultant with a portfolio of self-employed clients

or businesses. Diligence and an attention to detail

means that most accountants can make good re-
searchers, being able to support investigations

through the careful analysis of personal and
business transactions, financial statements,
and other records."	EDU × 4	30	70	"Accounting, Law, Library Use,
Listen, Persuade, Spot Hidden, any two
other skills as personal or era specialties
(e.g. Computer Use)."	Standard
Acrobat	"Acrobats may be either
amateur athletes
competing in staged
meets—possibly even

the Olympics—or profes-
sionals employed with the

entertainment sector (e.g.

circuses, carnivals, theatrical performances)."	EDU × 2 + DEX × 2	9	20	"Climb, Dodge, Jump, Throw, Spot Hidden, Swim,
any two other skills as personal or era specialties."	Standard
Stage Actor	"Usually a stage or film actor. Many stage actors have a back-
ground in the classics and, considering themselves “legiti-
mate,” have a tendency to look down upon the commercial

efforts of the film industry, although by the late twentieth
century this is diminished, with film actors able to command
greater respect and higher fees.
Movie stars and the film industry have long captured
the interest of people across the world. Many stars are made
overnight and most of them lead flashy, high profile lives,
ever in the media spotlight.
In the 1920s, the theatrical center of the U.S. is in New
York City, although there are major stages in most cities
across the country. A similar situation exists in England, with
touring repertory companies traveling the counties, with
London the heart of theatrical shows. Touring companies

travel by train, presenting new plays, as well as classics by

Shakespeare and others. Some companies spend consider-
able amounts of time touring foreign parts, such as Canada,

Hawaii, Australia, and Europe.
With the introduction of ""talkies"" in the latter part of the
1920s, many stars of the silent films era cannot cope with
the transition to sound. The arm-waving histrionics of silent

actors give way to more subtle characterizations. John Gar-
field and Francis Bushman are forgotten for new stars, such

as Gary Cooper and Joan Crawford."	EDU × 2 + APP × 2	9	40	"Art/Craft (Acting), Disguise, Fighting, History,

two interpersonal skills (Charm, Fast Talk, Intimi-
date, or Persuade), Psychology, any one other skill as

a personal or era specialty."	Standard
Film Star	"Usually a stage or film actor. Many stage actors have a back-
ground in the classics and, considering themselves “legiti-
mate,” have a tendency to look down upon the commercial

efforts of the film industry, although by the late twentieth
century this is diminished, with film actors able to command
greater respect and higher fees.
Movie stars and the film industry have long captured
the interest of people across the world. Many stars are made
overnight and most of them lead flashy, high profile lives,
ever in the media spotlight.
In the 1920s, the theatrical center of the U.S. is in New
York City, although there are major stages in most cities
across the country. A similar situation exists in England, with
touring repertory companies traveling the counties, with
London the heart of theatrical shows. Touring companies

travel by train, presenting new plays, as well as classics by

Shakespeare and others. Some companies spend consider-
able amounts of time touring foreign parts, such as Canada,

Hawaii, Australia, and Europe.
With the introduction of ""talkies"" in the latter part of the
1920s, many stars of the silent films era cannot cope with
the transition to sound. The arm-waving histrionics of silent

actors give way to more subtle characterizations. John Gar-
field and Francis Bushman are forgotten for new stars, such

as Gary Cooper and Joan Crawford."	EDU × 2 + APP × 2	20	90	"Art/Craft (Acting), Disguise, Drive Auto, two
interpersonal skills (Charm, Fast Talk, Intimidate,
or Persuade), Psychology, any two other skills as
personal or era specialties (e.g. Ride or Fighting)."	Standard
Agency Detective	"Numerous well-known detective agencies exist around the
world, with probably the most famous being the Pinkerton
and Burns agencies (merged into one in modern times).
Large agencies employ two types of agents: security guards
and operatives.
Guards are uniformed patrolmen, hired by companies

and individuals to protect property and people against bur-
glars, assassins and kidnappers. Use the Uniformed Police

Officer’s description for these characters. Company Opera-
tives are plainclothes detectives, sent out on cases requiring

them to solve mysteries, prevent murders, locate missing
people, and so on."	EDU × 2 + (STR × 2 or DEX × 2)	20	45	"One interpersonal skill (Charm, Fast Talk, Intim-
idate or Persuade), Fighting (Brawl), Firearms, Law,

Library Use, Psychology, Stealth, Track."	Standard
Alienist	"In the 1920s, ""alienist"" is the term given for those who treat
mental illness (early psychiatrists). Psychoanalysis is barely
known in the U.S., and its basis in sexual life and toilet
training is felt to be indecent. Psychiatry, a standard medical
education augmented by behaviorism, is more common.
Intellectual wars rage between alienists, psychiatrists, and
neurologists."	EDU × 4	10	60	"Law, Listen, Medicine, Other Language, Psycho-
analysis, Psychology, Science (Biology), (Chemistry)."	Standard
Animal Trainer	"May be employed by film studios, a travelling circus, a horse
stable, or possibly working freelance. Whether training guide

dogs for the blind or teaching a lion to jump through a flam-
ing hoop, the animal trainer usually works alone, spending

long hours in close proximity with the animals in their care.
An animal trainer can use the Psychology skill with animals
as well as people."	EDU × 2 + (APP × 2 or POW × 2)	10	40	"Jump, Listen, Natural World, Psychology, Science
(Zoology), Stealth, Track, any one other skill as a
personal or era specialty."	Standard
Antiquarian	"A person who delights in the timeless excellence of design
and execution, and in the power of ancient lore. Probably the
most Lovecraft-like occupation available to an investigator.
An independent income allows the antiquarian to explore
things old and obscure, perhaps sharpening their focus down
particular lines of enquiry based on personal preference and
interest. Usually a person with an appreciative eye and a
swift mind, who frequently finds mordant or contemptuous
humor in the foolishness of the ignorant, the pompous, and
the greedy."	EDU × 4	30	70	"Appraise, Art/Craft (any), History, Library Use,
Other Language, one interpersonal skill (Charm,
Fast Talk, Intimidate, or Persuade), Spot Hidden, any
one other skill as a personal or era specialty."	Standard
Antique Dealer	"Antique dealers usually own their own shop, retail items out
of their homes, or go on extended buying trips, making a
profit on reselling to urban stores."	EDU × 4	30	50	"Accounting, Appraise, Drive Auto, two interper-
sonal skills (Charm, Fast Talk, Intimidate, or Per-
suade), History, Library Use, Navigate."	Standard
Archaeologist	"The study and exploration of the past. Primarily the iden-
tification, examination, and analysis of recovered materials

relating to human history. The work involves painstaking
research and meticulous study, not to mention a willing
attitude to getting one’s hands dirty.

In the 1920s, successful archaeologists became celeb-
rities, seen as explorers and adventurers. While some used

scientific methods, many were happy to apply brute force
when unveiling the secrets of the past— the use of dynamite
was sometimes common. Such bullish behavior would be
frowned upon in modern times."	EDU × 4	10	40	"Appraise, Archaeology, History, Other Language

(any), Library Use, Spot Hidden, Mechanical Re-
pair, Navigate or Science (e.g. chemistry, physics,

geology, etc.)"	Standard
Architect	"Architects are trained to design
and plan buildings, whether

a small conversion to a pri-
vate house or a multi-mil-
lion dollar construction

project. The architect
will work closely with
the project manager

and oversee the con-
struction. Architects

must be aware of local
planning laws, health
and safety regulation,
and general public safety.
Some may work for

large firms or work free-
lance. A lot will depend on

reputation. In the 1920s, many try and go it alone, working out of their house or a
small office. Few manage to sell the grandiose designs they
all nurse."	EDU × 4	30	70	"Accounting, Art/Craft (Technical Drawing), Law,
Own Language, Computer Use or Library Use,
Persuade, Psychology, Science (Mathematics)."	Standard
Artist	"May be a painter, sculptor, etc. Sometimes self-absorbed
and driven with a particular vision, sometimes blessed

with a great talent that is able to inspire passion and under-
standing. Talented or not, the artist’s ego must be hardy and

strong to surmount initial obstacles and critical appraisal,
and to keep them working if success arrives. Some artists
care not for material enrichment, while others have a keen
entrepreneurial streak."	EDU × 2 + (DEX × 2 or POW × 2)	9	50	"Art/Craft (any), History or Natural World, one
interpersonal skill (Charm, Fast Talk, Intimidate,
or Persuade), Other Language, Psychology, Spot
Hidden, any two other skills as personal or era
specialties."	Standard
Asylum Attendant	"Although there are private sanitariums for those few who
can afford them, the vast bulk of the mentally ill are housed
in state and county facilities. Aside from a few doctors and
nurses, they employ a large number of attendants, often
chosen more for their strength and size rather than medical
learning."	EDU × 2 + (STR × 2 or DEX × 2)	8	20	"Dodge, Fighting (Brawl), First Aid, two inter-
personal skills (Charm, Fast Talk, Intimidate, or

Persuade), Listen, Psychology, Stealth."	Standard
Athlete	"Probably plays in a professional baseball, football, cricket,
or basketball team. This may be a major league team with a
regular salary and national attention or—particularly in the
case of 1920s baseball—one of many minor league teams,
some of them owned and operated by major league owners.
The latter pay barely enough to keep players fed and on the
team.
Successful professional athletes will enjoy a certain
amount of celebrity within the arena of their expertise—
more so in the present day where sporting heroes stand side
by side with film stars on red carpets around the world."	EDU × 2 + (DEX × 2 or STR × 2)	9	70	"Climb, Jump, Fighting (Brawl), Ride, one inter-
personal skill (Charm, Fast Talk, Intimidate, or

Persuade), Swim, Throw, any one other skill as a
personal or era specialty."	Standard
Author	"As distinct from the journalist, the author uses words to
define and explore the human condition, especially the
range of human emotions. Their labors are solitary and
the rewards solipsistic: only a relative handful make much
money in the present day, though in previous eras the trade
once provided a regular living wage.
The work habits of authors vary widely. Typically an

author might spend months or years researching in prepa-
ration for a book, then withdrawing for periods of intense

creation."	EDU × 4	9	30	"Art (Literature), History, Library Use, Natural
World or Occult, Other Language, Own Language,
Psychology, any one other skill as a personal or era
specialty."	Standard
Bartender	"Normally not the owner of the bar, the bartender is every-
one’s friend. For some it’s a career or their business, for

many it's a means to an end.

In the 1920s the profession is made illegal by the Prohi-
bition Act; however, there’s no shortage of work for a bar-
tender, as someone has to serve the drinks in the speakeasies

and secret gin joints."	EDU × 2 + APP × 2	8	25	"Accounting, two interpersonal skills (Charm, Fast
Talk, Intimidate, or Persuade), Fighting (Brawl),
Listen, Psychology, Spot Hidden, any one other skill
as a personal or era specialty."	Standard
Big Game Hunter	"Big game hunters are skilled trackers and hunters who
usually earn their living leading safaris for wealthy clients.
Most are specialized in one part of the world, such as the
Canadian woods, African plains, and other locales. Some
hunters may work for the black market, capturing live
exotic species for private collectors, or trading in illegal or
morally objectionable animal products like skins, ivory, and
the like—although in the 1920s such activities were more
common and were permissible under most countries’ laws.
Although the ""great white hunter"" is the quintessential

type, others may be simply local indigenous people who es-
cort hunters through the backwoods of the Yukon in search

of moose or bear."	EDU × 2 + (DEX × 2 or STR × 2)	20	50	"Firearms, Listen or Spot Hidden, Natural World,
Navigate, Other Language or Survival (any), Science
(Biology or Botany), Stealth, Track."	Standard
Book Dealer	"A book dealer may be the owner of a retail outlet or niche
mail order service, or specialize in buying trips across the

country and even overseas. Many will have wealthy or regu-
lar clients, who provide lists of sought-after and rare works."	EDU × 4	20	40	"Accounting, Appraise, Drive Auto, History,
Library Use, Own Language, Other Language, one
interpersonal skill (Charm, Fast Talk, Intimidate, or
Persuade),"	Standard
Bounty Hunter	"Bounty hunters track down and return fugitives to justice.
Most often, freelancers are employed by Bail Bondsmen to
track down bail jumpers. Bounty hunters may freely cross
state lines in pursuit of their quarry and may show little

regard for civil rights and other technicalities when captur-
ing their prey. Breaking and entering, threats, and physical

abuse are all part of the successful bounty hunter’s bag of
tricks. In modern times this may stem to illegal phone taps,
computer hacking, and other covert surveillance."	EDU × 2 + (DEX × 2 or STR × 2)	9	30	"Drive Auto, Electronic or Electrical Repair, Fight-
ing or Firearms, one interpersonal skill (Fast Talk,

Charm, Intimidate, or Persuade), Law, Psychology,
Track, Stealth."	Standard
